tweet_id,created_at,loc,text,user_id,verified
1245501564858404864,2020-04-02 00:01:28+00:00,VA,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u676645,0
1245501565261221888,2020-04-02 00:01:28+00:00,TX,danzu double corona cases italy does trump went from mueller report ukraine impeachment potent,u1142180,0
1245501583393271808,2020-04-02 00:01:32+00:00,TX,lojainrom shades corona https a1lcbf2ar0,u1250596,0
1245501583330136065,2020-04-02 00:01:32+00:00,CA,corona gündemi̇ i̇ngiltere türkiye deki sosyal yardım farkı 0204 2020 https bwncnifv https zhofh,u17109,0
1245501588548071424,2020-04-02 00:01:33+00:00,GA,corona pandemic been inside cooking more often than before quarantine brings chef https orlmeikw,u1250597,0
1245501587994353664,2020-04-02 00:01:33+00:00,WI,piehutchins corona make appreciate college miss going class saying hate class,u47119,0
1245501590594781184,2020-04-02 00:01:34+00:00,NY,iankursingh stone pelted women doctors tracking corona suspects indore only india will media journalists coming,u1175779,0
1245501606784839680,2020-04-02 00:01:38+00:00,NC,georgialogcabin chinas faulty corona virus test kits https gauc,u132706,0
1245501610320691202,2020-04-02 00:01:38+00:00,TX,nikoexxtra current mood thanks corona https ehfngsbd,u246175,0
1245501612111605760,2020-04-02 00:01:39+00:00,MO,eoygu corona parem aperto usem,u1250598,0
1245501612920942594,2020-04-02 00:01:39+00:00,CA,gossipbabies does anyone else corona hour each,u251372,0
1245501618327629825,2020-04-02 00:01:40+00:00,NC,might released today gets released catches corona,u761651,0
1245501632294670338,2020-04-02 00:01:44+00:00,MA,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1250599,0
1245501637042425856,2020-04-02 00:01:45+00:00,CA,omegakelleyy just wanna that before potentially corona,u669028,0
1245501639781384193,2020-04-02 00:01:45+00:00,OH,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1250600,0
1245501638997139459,2020-04-02 00:01:45+00:00,CT,lougarza brewtacotorres cruise cos stop booking your corona cruises just like airlines enough sink park,u191918,0
1245501640456585216,2020-04-02 00:01:46+00:00,MN,lindseygrahamsc translation third state work know your corona checks coming https utlxddmm,u993026,0
1245501652100100098,2020-04-02 00:01:48+00:00,NY,corona virus targeting more than women feminist icon,u96715,0
1245501652888702979,2020-04-02 00:01:49+00:00,NH,coronavirus affecting japan argentina airlines https sd1bpexomd,u1250601,0
1245501667627294720,2020-04-02 00:01:52+00:00,NV,peterboghossian intersectional coronaasstrology score sign scorpio,u1250602,0
1245501666704711680,2020-04-02 00:01:52+00:00,HI,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u121935,0
1245501675017605123,2020-04-02 00:01:54+00:00,CA,vaspencer honestly corona virus which solely caused china made worse chinas lack transparency lies,u662010,0
1245501676204638208,2020-04-02 00:01:54+00:00,CA,bertkreischer imagine aliens landed earth today with cure corona virus only would believ https mqiw yzups,u76095,0
1245501689156624384,2020-04-02 00:01:57+00:00,TX,fuck corona freestyle feat itsjustkongo cliff dallas https tylcsvkso,u1250603,0
1245501692742950914,2020-04-02 00:01:58+00:00,FL,billbrowder according intelligence china lied concealed extent corona virus outbreak that data,u26624,0
1245501698975698944,2020-04-02 00:01:59+00:00,SC,people that work hourly salary during this corona virus holding,u58102,0
1245501700422733825,2020-04-02 00:02:00+00:00,GA,gotta rent ideas make some money like today hustle times corona help,u1250604,0
1245501706764529665,2020-04-02 00:02:01+00:00,GA,just burst crying over this corona quarantine another days lockdown like,u1250605,0
1245501708047876096,2020-04-02 00:02:02+00:00,FL,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u1250606,0
1245501722262417409,2020-04-02 00:02:05+00:00,NY,hear everyone whose birthdays ruined corona over celebration their half bday,u86443,0
1245501723650723841,2020-04-02 00:02:05+00:00,TX,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1250607,0
1245501730005102592,2020-04-02 00:02:07+00:00,NC,should agree never talk about this corona shit when over,u403159,0
1245501735021563904,2020-04-02 00:02:08+00:00,GA,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u22051,0
1245501734560161793,2020-04-02 00:02:08+00:00,PA,aangelizzz damn instagram corona shit tweakin,u6061,0
1245501741786791936,2020-04-02 00:02:10+00:00,AZ,jalalsully pericoprincess they saying cause corona read deeper truths https qunypihp,u1182527,0
1245501744223850499,2020-04-02 00:02:10+00:00,NY,i_suspension paulultraman mitchellvii corona virus florida late https yypqx tltg,u46053,0
1245501745125568513,2020-04-02 00:02:10+00:00,FL,just gone ogjes meganlynn takin cake limelighttampa corona virus https vuptfdqffz,u1005110,0
1245501756559196161,2020-04-02 00:02:13+00:00,FL,mervpilgrim nance remember that speech tore traitor only cares about herself says corona will next,u16833,0
1245501760292126727,2020-04-02 00:02:14+00:00,CA,erbmjha doctors cant save lives when they safe from these radical isiamists mullahs found corona positive after,u89754,0
1245501764620767233,2020-04-02 00:02:15+00:00,IL,need photographer once corona ends wanna cute places even train tracks house take cute https zjihdefayx,u64328,0
1245501763676811264,2020-04-02 00:02:15+00:00,NY,cuba corona diaries been full week since cuba shut doors foreigners kicked tourists https ctvhahelab,u1250608,0
1245501764796854273,2020-04-02 00:02:15+00:00,IN,hiagoperei depois live universit ário motiva matar corona soco ravedogbremcasa,u444103,0
1245501775119093760,2020-04-02 00:02:18+00:00,NJ,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u36168,0
1245501789375365120,2020-04-02 00:02:21+00:00,CA,just want some mexican food corona,u1250609,0
1245501794744229890,2020-04-02 00:02:22+00:00,LA,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u102750,0
1245501800775651329,2020-04-02 00:02:24+00:00,NY,melihgokcek evet bence i̇stanbul ankara corona yayilmasinin sorumlusu beledi̇yeler yapilan bütün ikazlara rağmen killa,u257070,0
1245501807813693443,2020-04-02 00:02:25+00:00,MO,meli_nyathi mimireeds interestingly when checkout rollout spots identical corona affected areas world,u1250610,0
1245501812301594625,2020-04-02 00:02:27+00:00,LA,akkalima dude going save from corona,u990545,0
1245501822678315008,2020-04-02 00:02:29+00:00,OH,corona virus terrible honestly hope people that shotguns call duty,u558350,0
1245501828621578251,2020-04-02 00:02:30+00:00,TX,faithalexusss video corona aint stop from being great https vacgbktwh youtube https jkpmdjn,u276690,0
1245501842345394177,2020-04-02 00:02:34+00:00,FL,ssbella esse corona vírus achando ília brasileira estado mental ficar junta presa dias,u94477,0
1245501842420883456,2020-04-02 00:02:34+00:00,WI,cmcret every single every single morning wake news that makes want scream leadership corona virus,u161428,0
1245501847508566016,2020-04-02 00:02:35+00:00,FL,boyyoublessed wish government would april fools about this corona virus,u207423,0
1245501849639120897,2020-04-02 00:02:35+00:00,CA,govrondesantis think corona gonna come church there grow shitface,u1250611,0
1245501870044598276,2020-04-02 00:02:40+00:00,KS,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1250612,0
1245501872951173121,2020-04-02 00:02:41+00:00,FL,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u727985,0
1245501878294786050,2020-04-02 00:02:42+00:00,FL,panamaredin case were wondering what corona virus test like coronavirususa coronavirustesting https zdkugm,u1250613,0
1245501882140893193,2020-04-02 00:02:43+00:00,OH,lmao family called coronavirus corona covid quarantine familyguy irony https p1vaccib4z,u369768,0
1245501893553643529,2020-04-02 00:02:46+00:00,FL,race mechanics academics reverse engineer breathing device corona victims https dmxl qwxn,u889394,0
1245501903208939524,2020-04-02 00:02:48+00:00,NH,partisangirl they want virus spread even australian health minister said doesnt want become corona virus free,u1113774,0
1245501903645138947,2020-04-02 00:02:48+00:00,TX,need this corona shit away barber chiropractor open back,u1250614,0
1245501909345218561,2020-04-02 00:02:50+00:00,OH,inevitable_et corona virus testing effort hampered kits contaminated with covid that acquired company that sent,u56664,0
1245501909928235009,2020-04-02 00:02:50+00:00,FL,playing corona zombies nigga said second wave,u566068,0
1245501923324760064,2020-04-02 00:02:53+00:00,TN,jackyvegas damn that cool coronahate lawmaker angry because accepting charity from bigots like franklin,u68023,0
1245501924130140160,2020-04-02 00:02:53+00:00,TX,amedevac world best medevac covid patient germany activates their flying plane airbus a310 medevac corona patient,u745237,0
1245501933269458949,2020-04-02 00:02:55+00:00,FL,taylor swift katy perry yeah corona never existed,u328436,0
1245501930706780161,2020-04-02 00:02:55+00:00,MA,toddstarnes coronahate lawmaker angry because accepting charity from bigots like franklin graham samaritan purse,u167057,0
1245501943067234306,2020-04-02 00:02:58+00:00,CA,corona virus fuck,u609359,0
1245501944631898112,2020-04-02 00:02:58+00:00,VA,there corona finishing getting tattoo right,u1250615,0
1245501948813590529,2020-04-02 00:02:59+00:00,FL,benjaminpdixon once quarter postcorona world politcians should required come steps capitol shin,u1205865,0
1245501961467760643,2020-04-02 00:03:02+00:00,PA,corona tenants paid rent didn what both deserve suppose,u1237475,0
1245501961354518536,2020-04-02 00:03:02+00:00,AL,have tonsillitis what actually corona they just letting,u794797,0
